Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
182	20180424_sample_1	20180424_slice_1	2018-04-24	sample 1	mouse_MICGF	2018-01-26	88	F	wt/wt	2/3	2/3	WT	782149	54890	95873	2	2444	IT	L2/3 IT_3	0.31	L2/3 IT_3 (31.3%), L6 CT Pou3f2 (15.7%), L4/5 IT_1 (14.9%)	L4 IT VISp Rspo1 (38.0%), L2/3 IT VISp Agmat (30.0%), L2/3 IT VISp Adamts2 (16.0%)	1817	13.3	Fede	13	271.2	97.4	610.3	1684.428		
183	20180424_sample_2	20180424_slice_2	2018-04-24	sample 2	mouse_MICGF	2018-01-26	88	F	wt/wt	2/3	2/3	WT	1795115	1638737	314617	2	11933	IT	L2/3 IT_3	0.92	L2/3 IT_3 (92.3%), L4/5 IT_1 (5.0%)	L2/3 IT ALM Macc1 Lrg1 (55.0%), L2/3 IT VISp Agmat (41.0%)	1633	426.47	Fede	10	207.4	72.2	661.7	1826.292	y	
184	20180424_sample_3	20180424_slice_3	2018-04-24	sample 3	mouse_MICGF	2018-01-26	88	F	wt/wt	2/3	2/3	WT	1048724	1165612	177348	2	11465	IT	L2/3 IT_3	0.97	L2/3 IT_3 (96.9%)	L2/3 IT VISp Agmat (57.0%), L2/3 IT VISp Rrad (41.0%)	1966	342.61	Fede	10	272.5	96.1	638.7	1762.812	y	
185	20180424_sample_6	20180424_slice_6	2018-04-24	sample 6	mouse_MICGF	2018-01-26	88	F	wt/wt	2/3	2/3	WT	1266669	864665	123010	2	10365	IT	L2/3 IT_3	0.89	L2/3 IT_3 (89.1%), L2/3 IT_2 (7.3%)	L2/3 IT VISp Agmat (84.0%), L2/3 IT VISp Rrad (10.0%), L2/3 IT ALM Ptrf (6.0%)	1749	281.79	Matteo	10	391.7	143.4	564.6	1558.296		
186	20180425_sample_2	20180425_slice_2	2018-04-25	sample 2	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	601260	691169	102112	2	11334	IT	L2/3 IT_3	1.00	L2/3 IT_3 (99.7%)	L2/3 IT VISp Agmat (89.0%), L2/3 IT VISp Rrad (11.0%)	1673	385.68	Fede	20	327.8	117.5	568.6	1569.336	y	
187	20180425_sample_3	20180425_slice_2	2018-04-25	sample 3	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	504170	569799	57651	2	8300	Pvalb	Pvalb Il1rapl2	0.98	Pvalb Il1rapl2 (98.4%)	Pvalb Tpbg (100.0%)	1828	185.76	Fede	35	236.3	86.7	568.6	1569.336		
188	20180425_sample_4	20180425_slice_3	2018-04-25	sample 4	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	267116	548077	77559	2	10908	IT	L2/3 IT_3	0.97	L2/3 IT_3 (96.9%)	L2/3 IT VISp Agmat (58.0%), L4 IT VISp Rspo1 (22.0%), L2/3 IT VISp Rrad (12.0%)	1709	551.35	Matteo	10	295.5	115	566.7	1564.092		
189	20180425_sample_5	20180425_slice_4	2018-04-25	sample 5	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	929212	347642	60641	2	12159	Sncg	Sncg Npy2r	0.56	Sncg Npy2r (56.3%), Vip Sncg (25.0%), Sncg Col14a1 (10.1%)	Sncg Vip Itih5 (43.0%), Sncg Gpr50 (29.0%), Sncg Vip Nptx2 (28.0%)	1973	608.32	Fede	10	192.9	72.7	563.8	1556.088		
190	20180425_sample_7	20180425_slice_6	2018-04-25	sample 7	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	388797	430539	93927	2	9513	Pvalb	Pvalb Il1rapl2	0.90	Pvalb Il1rapl2 (89.6%), Pvalb Reln (8.0%)	Pvalb Tpbg (78.0%), Pvalb Reln Itm2a (22.0%)	1808	244.37	Fede	40	209.2	79.3	588.9	1625.364		
191	20180425_sample_8	20180425_slice_7	2018-04-25	sample 8	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	1124502	202475	69728	2	9740	Vip	Vip Sncg	0.89	Vip Sncg (89.0%), Sncg Npy2r (11.0%)	Sncg Vip Nptx2 (90.0%), Vip Col15a1 Pde1a (10.0%)	1744	404.86	Matteo	22	243.4	88.3	578.6	1596.936		
192	20180425_sample_9	20180425_slice_8	2018-04-25	sample 9	mouse_HIEAS	2018-01-26	89	M	wt/wt	2/3	2/3	WT	838054	673736	144532	2	12617	IT	L2/3 IT_3	0.86	L2/3 IT_3 (85.6%), L5 ET_2 (6.9%), L5 ET_1 (3.0%)	L2/3 IT VISp Rrad (47.0%), Microglia Siglech (34.0%), L2/3 IT VISp Agmat (17.0%)	1990	450.87	Fede	10	278.9	100.5	602.4	1662.624	y	
193	20180426_sample_1	20180426_slice_1	2018-04-26	sample 1	mouse_JLXOV	2018-01-23	93	M	wt/wt	2/3	2/3	WT	199159	276900	46621	2	12560	ET	L5 ET_1	0.89	L5 ET_1 (89.4%), L5 ET_4 (5.6%)	L5 PT VISp Krt80 (62.0%), Oligo Synpr (38.0%)	1652	277.55	Fede	12	159.5	41.9	564.6	1558.296		
194	20180426_sample_3	20180426_slice_3	2018-04-26	sample 3	mouse_JLXOV	2018-01-23	93	M	wt/wt	2/3	2/3	WT	1006533	433936	86420	2	12416	IT	L2/3 IT_3	0.61	L2/3 IT_3 (60.7%), L2/3 IT_2 (20.6%), L4/5 IT_2 (8.0%)	L2/3 IT VISp Adamts2 (93.0%), L2/3 IT VISp Agmat (4.0%)	1632	451.65	Fede	10	318.2	119.9	579.4	1599.144	y	
195	20180426_sample_4	20180426_slice_4	2018-04-26	sample 4	mouse_JLXOV	2018-01-23	93	M	wt/wt	2/3	2/3	WT	1478890	70072	102023	2	6280	IT	L2/3 IT_3	0.71	L2/3 IT_3 (70.6%), L4/5 IT_1 (10.4%), L4/5 IT_2 (5.3%)	L2/3 IT VISp Agmat (94.0%), L4 IT VISp Rspo1 (3.0%)	1527	150.14	Matteo	12	318.1	116.6	532.7	1470.252		
196	20180426_sample_5	20180426_slice_5	2018-04-26	sample 5	mouse_JLXOV	2018-01-23	93	M	wt/wt	2/3	2/3	WT	347808	31944	36992	2	2123	Pvalb	Pvalb Reln	0.35	Pvalb Reln (34.7%), Pvalb Gpr149 (22.4%), Pvalb Kank4 (21.6%)	Pvalb Reln Itm2a (82.0%), Pvalb Tpbg (9.0%), Pvalb Gabrg1 (4.0%)	1549	30.02	Fede	25	281.1	101.2	540.9	1492.884		
197	20180426_sample_7	20180426_slice_7	2018-04-26	sample 7	mouse_JLXOV	2018-01-23	93	M	wt/wt	5	5	WT	958166	1030555	171891	2	10046	IT	L4/5 IT_2	0.98	L4/5 IT_2 (98.4%)	L5 IT ALM Lypd1 Gpr88 (62.0%), L5 IT ALM Tmem163 Dmrtb1 (30.0%), L5 IT VISp Hsd11b1 Endou (6.0%)	1639	120.15	Fede	10	617	224.2	522.7	1442.652	y	
198	20180426_sample_9	20180426_slice_9	2018-04-26	sample 9	mouse_JLXOV	2018-01-23	93	M	wt/wt	2/3	2/3	WT	511102	128001	64669	2	2716	Pvalb	Pvalb Il1rapl2	0.31	Pvalb Il1rapl2 (31.3%), Pvalb Calb1_2 (24.4%), Pvalb Gpr149 (16.0%)	Pvalb Gpr149 Islr (34.0%), Sst Tac1 Tacr3 (28.0%), Pvalb Tpbg (22.0%)	1891	39.56	Fede	26	258.2	94.7	528.5	1458.66		
199	20180501_sample_2	20180501_slice_2	2018-05-01	sample 2	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	186776	276703	39385	3	7638	IT	L2/3 IT_3	0.94	L2/3 IT_3 (93.7%), L2/3 IT_2 (1.6%)	L2/3 IT VISp Rrad (73.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%), L2/3 IT VISp Agmat (10.0%)	1507	399.11	Matteo	13	316.7	119	533.2	1471.632	y	
200	20180501_sample_3	20180501_slice_3	2018-05-01	sample 3	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	447147	439373	68020	3	8620	IT	L2/3 IT_3	0.88	L2/3 IT_3 (87.9%), L4/5 IT_1 (6.4%), L6 CT Grp (2.0%)	L2/3 IT VISp Agmat (82.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%)	1513	254.07	Fede	10	332.1	124.5	560.2	1546.152		
201	20180501_sample_4	20180501_slice_4	2018-05-01	sample 4	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	388240	435814	81761	3	7093	IT	L2/3 IT_3	0.89	L2/3 IT_3 (89.1%), L2/3 IT_2 (4.6%), L5 IT_3 (1.1%)	L2/3 IT VISp Agmat (63.0%), L2/3 IT VISp Rrad (33.0%)	1521	146.68	Matteo	10	262.7	95.3	579.6	1599.696	y	
202	20180501_sample_5	20180501_slice_5	2018-05-01	sample 5	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	450111	528804	78660	3	9789	IT	L2/3 IT_3	0.98	L2/3 IT_3 (98.4%)	L2/3 IT VISp Rrad (42.0%), L2/3 IT VISp Agmat (32.0%), L2/3 IT ALM Macc1 Lrg1 (25.0%)	1505	377.25	Fede	15	351.8	127.8	578.9	1597.764	y	
203	20180501_sample_6	20180501_slice_6	2018-05-01	sample 6	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	78581	7126	17980	3	2336	low quality					1501	224.57	Matteo	10	424.4	151.8	612	1689.12		
204	20180501_sample_7	20180501_slice_7	2018-05-01	sample 7	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	71115	7766	12224	3	2289	low quality					1508	165.06	Fede	45	436.4	157	607.7	1677.252		
205	20180501_sample_8	20180501_slice_8	2018-05-01	sample 8	mouse_XITQQ	2018-01-23	98	M	wt/wt	2/3	2/3	WT	382076	203835	40730	3	6902	Lamp5	Lamp5 Slc35d3	0.51	Lamp5 Slc35d3 (50.9%), Lamp5 Pdlim5_2 (48.7%)	Lamp5 Lsp1 (100.0%)	1510	232.28	Fede	25	249	96.7	614.7	1696.572		
206	20180502_sample_1	20180502_slice_1	2018-05-02	sample 1	mouse_ZTLGB	2018-02-05	86	M	wt/wt	5	5	WT	282840	53755	23626	3	2390	low quality					1511	92.06	Fede	20	545.6	203.3	503.2	1388.832		
207	20180502_sample_2	20180502_slice_2	2018-05-02	sample 2	mouse_ZTLGB	2018-02-05	86	M	wt/wt	2/3	2/3	WT	490378	32771	30470	3	3702	low quality					1522	58.11	Matteo	12	345.7	125	556.1	1534.836		
208	20180502_sample_3	20180502_slice_3	2018-05-02	sample 3	mouse_ZTLGB	2018-02-05	86	M	wt/wt	5	5	WT	1205135	729151	147191	3	14420	IT	L4/5 IT_2	0.99	L4/5 IT_2 (98.7%)	L5 IT ALM Tmem163 Dmrtb1 (100.0%)	2110	679.87	Fede	10	537.8	194.3	515	1421.4	y	
209	20180502_sample_4	20180502_slice_4	2018-05-02	sample 4	mouse_ZTLGB	2018-02-05	86	M	wt/wt	2/3	2/3	WT	588447	28457	41657	3	3876	IT	L2/3 IT_3	0.62	L2/3 IT_3 (62.0%), L4/5 IT_1 (11.3%), L2/3 IT_2 (4.6%)	L2/3 IT VISp Adamts2 (62.0%), L2/3 IT VISp Rrad (31.0%), L2/3 IT VISp Agmat (6.0%)	1748	54.66	Matteo	12	188.6	67.1	565.2	1559.952		
210	20180508_sample_1	20180508_slice_1	2018-05-08	sample 1	mouse_CQEQX	2017-11-23	166	F	wt/wt	2/3	2/3	WT	1305202	1658129	200256	3	9881	Pvalb	Pvalb Il1rapl2	0.79	Pvalb Il1rapl2 (78.7%), Pvalb Calb1_2 (13.7%), Pvalb Reln (4.1%)	Pvalb Tpbg (52.0%), Pvalb Reln Itm2a (43.0%)	1725	112.66	Fede	35	255.8	85.2	568.3	1568.508		
211	20180508_sample_2	20180508_slice_2	2018-05-08	sample 2	mouse_CQEQX	2017-11-23	166	F	wt/wt	5	5	WT	528204	1481742	398024	3	9377	IT	L5 IT_1	0.70	L5 IT_1 (69.6%), L5 IT_2 (13.1%), L4/5 IT_2 (9.9%)	L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (16.0%), L6 IT VISp Penk Fst (15.0%)	1505	111.46	Matteo	13	744.2	247.9	541	1493.16		
212	20180508_sample_3	20180508_slice_3	2018-05-08	sample 3	mouse_CQEQX	2017-11-23	166	F	wt/wt	2/3	2/3	WT	600984	21385	47442	3	4508	IT	L2/3 IT_3	0.67	L2/3 IT_3 (67.0%), L2/3 IT_2 (8.9%), L6 CT Grp (7.1%)	L2/3 IT VISp Agmat (89.0%), L2/3 IT ALM Ptrf (7.0%)	1729	16.14	Fede	10	220.7	81.9	577.4	1593.624	y	
213	20180508_sample_4	20180508_slice_4	2018-05-08	sample 4	mouse_CQEQX	2017-11-23	166	F	wt/wt	2/3	2/3	WT	795150	431640	88749	3	7975	IT	L2/3 IT_3	0.68	L2/3 IT_3 (67.9%), L2/3 IT_1 (21.4%), L2/3 IT_2 (7.4%)	L2/3 IT VISp Rrad (68.0%), L2/3 IT VISp Adamts2 (28.0%)	1506	62.94	Matteo	12	213.9	71.4	586.2	1617.912		
214	20180509_sample_1	20180509_slice_1	2018-05-09	sample 1	mouse_QQBBV	2018-02-15	83	M	wt/wt	2/3	2/3	WT	903525	110155	131703	3	5791	low quality					1768	42.96	Fede	10	275	98.1	505.1	1394.076	y	
215	20180509_sample_2	20180509_slice_2	2018-05-09	sample 2	mouse_QQBBV	2018-02-15	83	M	wt/wt	2/3	2/3	WT	698049	1524115	278093	3	12383	IT	L2/3 IT_3	0.99	L2/3 IT_3 (99.0%)	L2/3 IT VISp Agmat (77.0%), L2/3 IT ALM Macc1 Lrg1 (19.0%)	1797	276.8	Matteo	15	305.7	116.1	577	1592.52		
216	20180509_sample_3	20180509_slice_3	2018-05-09	sample 3	mouse_QQBBV	2018-02-15	83	M	wt/wt	2/3	2/3	WT	1220777	1944348	265250	3	11977	IT	L2/3 IT_3	0.93	L2/3 IT_3 (93.1%), L4/5 IT_1 (3.6%)	L2/3 IT VISp Agmat (61.0%), L2/3 IT ALM Macc1 Lrg1 (39.0%)	1538	320.83	Fede	10	338.7	121	586.1	1617.636	y	
217	20180509_sample_4	20180509_slice_4	2018-05-09	sample 4	mouse_QQBBV	2018-02-15	83	M	wt/wt	2/3	2/3	WT	1290001	1519967	204942	3	11904	IT	L2/3 IT_3	0.90	L2/3 IT_3 (89.7%), L4/5 IT_1 (3.6%), L2/3 IT_2 (3.0%)	L2/3 IT ALM Macc1 Lrg1 (66.0%), L2/3 IT VISp Rrad (16.0%), L2/3 IT VISp Agmat (16.0%)	1741	188.94	Matteo	12	339.8	113.6	537.3	1482.948	y	
218	20180509_sample_5	20180509_slice_3	2018-05-09	sample 5	mouse_QQBBV	2018-02-15	83	M	wt/wt	2/3	2/3	WT	1352292	1730462	287098	3	10865	IT	L2/3 IT_3	0.85	L2/3 IT_3 (84.9%), L2/3 IT_2 (11.0%)	L2/3 IT VISp Agmat (64.0%), L2/3 IT ALM Macc1 Lrg1 (34.0%)	1668	146.92	Fede	12	250.5	90.7	586.1	1617.636	y	
219	20180509_sample_7	20180509_slice_5	2018-05-09	sample 7	mouse_QQBBV	2018-02-15	83	M	wt/wt	5	5	WT	1313590	1475285	224480	3	13027	IT	L5 IT_1	0.99	L5 IT_1 (99.4%)	L5 IT ALM Tmem163 Arhgap25 (86.0%), L5 IT VISp Hsd11b1 Endou (7.0%), L5 IT VISp Batf3 (3.0%)	1511	344.77	Fede	13	609.4	223.2	540.5	1491.78	y	
220	20180509_sample_9	20180509_slice_7	2018-05-09	sample 9	mouse_QQBBV	2018-02-15	83	M	wt/wt	2/3	2/3	WT	1427496	549046	102504	3	12074	IT	L2/3 IT_3	0.51	L2/3 IT_3 (51.1%), L2/3 IT_1 (18.7%), L2/3 IT_2 (18.3%)	L2/3 IT VISp Adamts2 (56.0%), L2/3 IT VISp Rrad (28.0%), L2/3 IT VISp Agmat (9.0%)	1522	382.92	Fede	10	218.3	79.8	583.9	1611.564		
221	20180510_sample_2	20180510_slice_2	2018-05-10	sample 2	mouse_WEAAS	2018-02-05	94	F	wt/wt	2/3	2/3	WT	3115931	3078692	389053	3	13296	Pvalb	Pvalb Reln	1.00	Pvalb Reln (99.9%)	Pvalb Reln Itm2a (100.0%)	2047	384.57	Matteo	36	478.5	171.4	643.6	1776.336	y	
222	20180510_sample_3	20180510_slice_3	2018-05-10	sample 3	mouse_WEAAS	2018-02-05	94	F	wt/wt	2/3	2/3	WT	1164956	1641032	233490	3	9343	IT	L2/3 IT_3	0.95	L2/3 IT_3 (95.4%)	L2/3 IT VISp Rrad (58.0%), L2/3 IT VISp Agmat (39.0%)	1855	179.13	Fede	15	203.3	75.1	531.5	1466.94		
223	20180510_sample_4	20180510_slice_4	2018-05-10	sample 4	mouse_WEAAS	2018-02-05	94	F	wt/wt	2/3	2/3	WT	3096828	1598398	252629	3	14092	IT	L2/3 IT_3	0.87	L2/3 IT_3 (86.7%), L2/3 IT_2 (6.6%), L5 ET_2 (4.0%)	L2/3 IT ALM Macc1 Lrg1 (71.0%), L2/3 IT VISp Agmat (29.0%)	1876	787.81	Matteo	16	358.8	126.1	610.3	1684.428		
224	20180510_sample_5	20180510_slice_5	2018-05-10	sample 5	mouse_WEAAS	2018-02-05	94	F	wt/wt	5	5	WT	877238	1728594	270210	3	12926	IT	L4/5 IT_2	0.77	L4/5 IT_2 (76.7%), L5 IT_1 (17.9%), L5 ET_2 (2.9%)	L5 IT ALM Lypd1 Gpr88 (67.0%), L5 IT ALM Tmem163 Dmrtb1 (31.0%)	1863	454.14	Fede	10	489	171.3	532.2	1468.872	y	
225	20180510_sample_9	20180510_slice_7	2018-05-10	sample 9	mouse_WEAAS	2018-02-05	94	F	wt/wt	5	5	WT	2774653	1408898	220982	3	11509	IT	L4/5 IT_2	0.71	L4/5 IT_2 (71.0%), L5 IT_1 (15.3%), L4/5 IT_1 (12.3%)	L5 IT VISp Hsd11b1 Endou (69.0%), L5 IT ALM Cbln4 Fezf2 (27.0%)	2027	211.4	Fede	15	465.7	168.5	492.1	1358.196		
226	20180515_sample_1	20180515_slice_1	2018-05-15	sample 1	mouse_BULZF	2018-01-26	109	F	Pvalb-Cre/wt; Ai9/wt	2/3	2/3	PV+	209167	222517	36049	3	6777	Pvalb	Pvalb Reln	0.73	Pvalb Reln (72.7%), Pvalb Il1rapl2 (11.7%), Pvalb Kank4 (10.7%)	Pvalb Reln Itm2a (100.0%)	1523	45.02	Fede	25	410	150	649.1	1791.516	y	
227	20180515_sample_6	20180515_slice_6	2018-05-15	sample 6	mouse_BULZF	2018-01-26	109	F	Pvalb-Cre/wt; Ai9/wt	5	5	PV+	499226	325885	76456	3	6733	Pvalb	Pvalb Reln	0.93	Pvalb Reln (93.0%), Pvalb Gpr149 (3.4%)	Pvalb Reln Itm2a (95.0%)	1676	68.11	Matteo	30	571.5	202.4	579.2	1598.592		
228	20180522_sample_1	20180522_slice_1	2018-05-22	sample 1	mouse_WDWKX	2018-02-05	106	M	wt/wt	2/3	2/3	WT	883194	708951	99116	3	9289	IT	L4/5 IT_1	0.56	L4/5 IT_1 (56.0%), L2/3 IT_3 (39.0%)	L4 IT VISp Rspo1 (63.0%), L5 IT ALM Pld5 (20.0%), L2/3 IT ALM Macc1 Lrg1 (15.0%)	1589	124.51	Fede	11	358.1	145.8	521.6	1439.616		
229	20180522_sample_2	20180522_slice_2	2018-05-22	sample 2	mouse_WDWKX	2018-02-05	106	M	wt/wt	2/3	2/3	WT	826521	1072728	164431	3	9895	IT	L2/3 IT_3	0.97	L2/3 IT_3 (97.4%)	L2/3 IT VISp Agmat (56.0%), L2/3 IT ALM Macc1 Lrg1 (23.0%), L2/3 IT VISp Rrad (21.0%)	1524	165.61	Matteo	12	327.5	135.3	541.6	1494.816		
230	20180522_sample_3	20180522_slice_3	2018-05-22	sample 3	mouse_WDWKX	2018-02-05	106	M	wt/wt	5	5	WT	510542	1139919	151842	3	8383	IT	L4/5 IT_2	0.98	L4/5 IT_2 (98.4%)	L4 IT VISp Rspo1 (68.0%), L5 IT ALM Lypd1 Gpr88 (28.0%)	1520	105.25	Fede	14	586.7	228.2	581.9	1606.044		
231	20180522_sample_4	20180522_slice_4	2018-05-22	sample 4	mouse_WDWKX	2018-02-05	106	M	wt/wt	5	5	WT	415128	317315	45696	3	9161	IT	L5 IT_1	0.91	L5 IT_1 (91.4%), L5 IT_2 (5.9%)	L5 IT VISp Batf3 (42.0%), L5 IT ALM Cpa6 Gpr88 (28.0%), L5 IT ALM Gkn1 Pcdh19 (21.0%)	1515	227.08	Matteo	12	461.6	168.1	473.2	1306.032	y	
232	20180522_sample_5	20180522_slice_5	2018-05-22	sample 5	mouse_WDWKX	2018-02-05	106	M	wt/wt	2/3	2/3	WT	1197101	245875	63439	3	11352	Pvalb	Pvalb Reln	0.47	Pvalb Reln (46.7%), Pvalb Il1rapl2 (43.7%), Pvalb Kank4 (5.0%)	Pvalb Reln Itm2a (50.0%), Pvalb Tpbg (50.0%)	1647	282.73	Fede	20	225.3	82.6	570.2	1573.752		
233	20180522_sample_6	20180522_slice_6	2018-05-22	sample 6	mouse_WDWKX	2018-02-05	106	M	wt/wt	5	5	WT	481300	160552	53706	3	7655	ET	L5 ET_1	0.67	L5 ET_1 (67.3%), L5 ET_4 (13.6%), L5 ET_2 (6.4%)	L5 PT VISp Krt80 (47.0%), L5 PT VISp Lgr5 (30.0%), L5 PT VISp C1ql2 Ptgfr (14.0%)	1659	51.57	Matteo	12	748.1	267.3	506.4	1397.664		
234	20180522_sample_7	20180522_slice_7	2018-05-22	sample 7	mouse_WDWKX	2018-02-05	106	M	wt/wt	2/3	2/3	WT	488576	519639	82868	3	7788	IT	L2/3 IT_3	0.92	L2/3 IT_3 (91.6%), L4/5 IT_1 (3.1%), L6 IT_1 (2.7%)	L2/3 IT VISp Agmat (96.0%)	1516	94.74	Fede	10	260.2	93	550.7	1519.932	y	
235	20180524_sample_5	20180524_slice_5	2018-05-24	sample 5	mouse_QFXET	2018-02-05	108	M	wt/wt	2/3	2/3	WT	66450	11174	5805	3	2400	low quality					1610	32.27	Fede	25	203.5	74	587.4	1621.224		
236	20180524_sample_8	20180524_slice_8	2018-05-24	sample 8	mouse_BFVKP	2018-02-06	107	M	Scnn1a-Tg3-Cre/wt; Ai9/wt	5	5	SCNN1	1067511	161788	58347	3	10864	IT	L4/5 IT_2	0.95	L4/5 IT_2 (95.4%)	L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT ALM Tmem163 Dmrtb1 (17.0%)	1507	218.59	Fede	9	515.1	185.4	583.2	1609.632	y	
237	20180524_sample_9	20180524_slice_9	2018-05-24	sample 9	mouse_QFXET	2018-02-05	108	M	wt/wt	2/3	5	WT	225813	107100	18711	3	5769	Pvalb	Pvalb Gpr149	0.43	Pvalb Gpr149 (42.7%), Pvalb Calb1_2 (38.9%), Pvalb Reln (8.4%)	Pvalb Reln Tac1 (35.0%), Pvalb Tpbg (34.0%), Pvalb Gpr149 Islr (22.0%)	1503	44.78	Fede	20	606.9	214.6	523.1	1443.756	y	
238	20180529_sample_3	20180529_slice_3	2018-05-29	sample 3	mouse_PAIFP	2017-09-26	245	F	Viaat-Cre/wt; Ai9/wt	5	2/3	VIAAT-	34283	2635	3162	3	1690	IT	L4/5 IT_1	0.47	L4/5 IT_1 (46.6%), L6b Kcnip1 (11.4%), L4/5 IT_2 (7.1%)	L5 IT ALM Pld5 (52.0%), L4 IT VISp Rspo1 (44.0%)	1597	51.05	Matteo	10	285.6	105.3	487.3	1344.948	y	
239	20180608_sample_1	20180608_slice_1	2018-06-08	sample 1	mouse_CTDSZ	2018-02-16	112	M	wt/wt	2/3	2/3	WT	119114	191351	21465	3	8037	Lamp5	Lamp5 Pax6	1.00	Lamp5 Pax6 (99.7%)	Lamp5 Krt73 (100.0%)	2035	168.37	Matteo	22	163.4	63.4	518.6	1431.336		
240	20180608_sample_2	20180608_slice_2	2018-06-08	sample 2	mouse_CTDSZ	2018-02-16	112	M	wt/wt	5	5	WT	525424	750262	87538	3	11097	Pvalb	Pvalb Gpr149	1.00	Pvalb Gpr149 (100.0%)	Pvalb Gpr149 Islr (99.0%)	2210	172.09	Matteo	32	1057.4	388.6	589.2	1626.192		
241	20180608_sample_3	20180608_slice_3	2018-06-08	sample 3	mouse_CTDSZ	2018-02-16	112	M	wt/wt	5	5	WT	243055	8422	7909	3	2893	IT	L5 IT_1	0.70	L5 IT_1 (70.4%), L4/5 IT_2 (6.7%), L5 IT_2 (4.6%)	L5 IT VISp Batf3 (88.0%), L5 IT ALM Cpa6 Gpr88 (4.0%), L5 IT VISp Hsd11b1 Endou (3.0%)	2099	23.62	Matteo	16	639.5	228.2	597.5	1649.1		
242	20180608_sample_5	20180608_slice_5	2018-06-08	sample 5	mouse_CTDSZ	2018-02-16	112	M	wt/wt	5	5	WT	2531959	1144710	178337	3	14394	Pvalb	Pvalb Kank4	0.75	Pvalb Kank4 (75.4%), Pvalb Gpr149 (20.6%)	Pvalb Sema3e Kank4 (97.0%)	1989	752.7	Matteo	20	928.4	330.3	542	1495.92		
243	20180619_sample_3	20180619_slice_3	2018-06-19	sample 3	mouse_CSTGT	2018-02-16	123	M	wt/wt	2/3	2/3	WT	480388	30564	17969	3	3384	Pvalb	Pvalb Il1rapl2	0.69	Pvalb Il1rapl2 (68.7%), Pvalb Calb1_2 (10.1%), Pvalb Calb1_1 (5.9%)	Pvalb Tpbg (96.0%)	1752	420.79	Fede	22	218.6	78.8	473.5	1306.86		
244	20180619_sample_5	20180619_slice_5	2018-06-19	sample 5	mouse_CSTGT	2018-02-16	123	M	wt/wt	2/3	2/3	WT	1190890	1401463	177770	3	8773	IT	L2/3 IT_3	0.96	L2/3 IT_3 (96.4%)	L2/3 IT VISp Rrad (59.0%), L2/3 IT VISp Agmat (38.0%)	1720	112.1	Fede	10	219.4	82	516.4	1425.264		
245	20180619_sample_7	20180619_slice_7	2018-06-19	sample 7	mouse_CSTGT	2018-02-16	123	M	wt/wt	2/3	5	WT	989460	562314	88611	3	7188	Lamp5	Lamp5 Pdlim5_2	0.51	Lamp5 Pdlim5_2 (50.9%), Lamp5 Pdlim5_1 (32.1%), Lamp5 Egln3_3 (16.4%)	Lamp5 Plch2 Dock5 (87.0%), Lamp5 Ntn1 Npy2r (13.0%)	1771	78.51	Fede	30	426.2	154.4	484.2	1336.392		
246	20180621_sample_1	20180621_slice_1	2018-06-21	sample 1	mouse_IAHGR	2018-02-16	125	M	wt/wt	2/3	2/3	WT	978220	1520313	168654	3	10242	IT	L2/3 IT_3	0.90	L2/3 IT_3 (90.3%), L2/3 IT_2 (8.9%)	L2/3 IT VISp Rrad (86.0%), L2/3 IT VISp Agmat (14.0%)	1932	230.92	Fede	10	254.4	89.9	582.4	1607.424		
247	20180621_sample_2	20180621_slice_2	2018-06-21	sample 2	mouse_IAHGR	2018-02-16	125	M	wt/wt	2/3	2/3	WT	991081	1470696	181926	3	10494	IT	L2/3 IT_3	0.67	L2/3 IT_3 (67.3%), L2/3 IT_2 (29.6%)	L2/3 IT VISp Rrad (89.0%), L2/3 IT ALM Macc1 Lrg1 (10.0%)	1899	270.78	Fede	10	228.2	82.1	569.8	1572.648	y	
