GeneID,exon_bp,intron_bp,gene_bp
Gm13455,517,0,517
Gm13456,1365,0,1365
Gm13458,367,0,367
Gm13459,646,0,646
Gm13460,353,0,353
Gm13462,961,0,961
Gm13463,233,0,233
Gm13464,935,0,935
Gm13465,979,18876,19855
Gm13466,999,0,999
Gm13467,281,3601,3882
Gm13469,350,0,350
Gm13470,421,22755,23176
Gm13472,314,0,314
Gm13474,815,2055,2870
Gm13475,234,0,234
Gm13477,2687,0,2687
Gm13478,413,0,413
Gm13479,4722,42049,46771
Gm13480,1000,5973,6973
Gm13481,1732,392966,394698
Gm13483,1811,135347,137158
Gm13484,412,0,412
Gm13485,659,3686,4345
Gm13487,864,0,864
Gm13488,179,0,179
Gm13489,971,0,971
Gm13490,2409,72635,75044
Gm13492,665,0,665
Gm13493,493,0,493
Gm13494,1096,0,1096
Gm13495,537,0,537
Gm13496,1165,381,1546
Gm13497,2038,52077,54115
Gm13498,2166,0,2166
Gm13499,603,1325,1928
Gm13500,824,0,824
Gm13501,979,0,979
Gm13502,684,0,684
Gm13503,446,0,446
Gm13504,316,0,316
Gm13505,817,0,817
Gm13506,1083,3235,4318
Gm13508,775,0,775
Gm13517,1495,0,1495
Gm13518,233,0,233
Gm13522,1276,21969,23245
Gm13523,488,1759,2247
Gm13524,662,1321,1983
Gm13526,189,0,189
Gm13527,691,0,691
Gm13528,410,3570,3980
Gm13529,410,0,410
Gm13530,390,13461,13851
Gm13531,543,0,543
Gm13532,240,0,240
Gm13534,513,0,513
Gm13535,1884,1239,3123
Gm13536,766,1640,2406
Gm13537,267,0,267
Gm13538,548,10163,10711
Gm13539,1020,3746,4766
Gm13541,283,0,283
Gm13542,637,0,637
Gm13543,796,0,796
Gm13544,2940,7184,10124
Gm13545,482,0,482
Gm13546,1349,11714,13063
Gm13547,843,3935,4778
Gm13549,796,0,796
Gm13551,430,0,430
Gm13552,417,0,417
Gm13553,1970,2980,4950
Gm13555,319,0,319
Gm13556,1412,573,1985
Gm13561,1826,112017,113843
Gm13562,1344,17964,19308
Gm13563,1678,5815,7493
Gm13564,657,3056,3713
Gm13565,700,3563,4263
Gm13566,1142,0,1142
Gm13567,247,0,247
Gm13569,574,938,1512
Gm13571,3102,29945,33047
Gm13572,559,1138,1697
Gm13575,1520,9739,11259
Gm13577,205,0,205
Gm13578,590,0,590
Gm13579,517,103,620
Gm13581,278,13,291
Gm13582,2655,8121,10776
Gm13583,1808,1359,3167
Gm13584,603,3798,4401
Gm13586,464,0,464
Gm13588,135,0,135
Gm13589,1675,30175,31850
Gm13590,1588,0,1588
Gm13592,1010,0,1010
Gm13593,692,500,1192
Gm13594,476,444,920
Gm13595,494,2847,3341
Gm13596,292,1379,1671
Gm13597,375,0,375
Gm13599,678,86155,86833
Gm136,1311,11169,12480
Gm13600,744,770,1514
Gm13601,404,25078,25482
Gm13602,493,0,493
Gm13604,482,0,482
Gm13605,1091,1062,2153
Gm13609,589,112,701
Gm13610,951,2650,3601
Gm13611,318,0,318
Gm13612,390,0,390
Gm13613,1444,22741,24185
Gm13614,503,0,503
Gm13615,1612,688,2300
Gm13616,222,0,222
Gm13617,675,9097,9772
Gm13618,384,4594,4978
Gm13619,2138,6074,8212
Gm13620,511,213,724
Gm13622,433,0,433
Gm13623,625,0,625
Gm13624,462,0,462
Gm13626,402,297,699
Gm13629,1148,103999,105147
Gm13630,3650,8445,12095
Gm13631,654,2842,3496
Gm13632,384,6196,6580
Gm13633,898,0,898
Gm13640,264,0,264
Gm13641,473,0,473
Gm13642,381,0,381
Gm13645,699,745,1444
Gm13647,622,6961,7583
Gm13648,1536,5552,7088
Gm13649,606,0,606
Gm13651,1110,0,1110
Gm13652,3412,9516,12928
Gm13657,1939,3180,5119
Gm13658,929,7194,8123
Gm13660,722,5101,5823
Gm13661,318,2003,2321
Gm13664,345,0,345
Gm13665,528,0,528
Gm13666,799,0,799
Gm13667,617,14461,15078
Gm13668,1001,0,1001
Gm13669,457,0,457
Gm13670,461,305,766
Gm13674,823,0,823
Gm13675,529,0,529
Gm13676,591,0,591
Gm13677,595,0,595
Gm13679,484,0,484
Gm13680,793,0,793
Gm13681,210,0,210
Gm13682,702,0,702
Gm13684,2264,19820,22084
Gm13685,141,0,141
Gm13686,350,110,460
Gm13687,282,0,282
Gm13688,608,0,608
Gm13690,285,0,285
Gm13692,371,0,371
Gm13694,2493,0,2493
Gm13695,2493,0,2493
Gm13696,2493,0,2493
Gm13700,1128,0,1128
Gm13702,825,0,825
Gm13703,449,6617,7066
Gm13707,600,6634,7234
Gm13708,390,17508,17898
Gm13709,614,7775,8389
Gm13710,965,29598,30563
Gm13712,2295,247,2542
Gm13713,902,31646,32548
Gm13714,221,0,221
Gm13715,411,9593,10004
Gm13716,808,936,1744
Gm13719,2111,818,2929
Gm13722,3066,0,3066
Gm13723,5036,756,5792
Gm13724,1155,0,1155
Gm13726,794,0,794
Gm13727,424,1291,1715
Gm13728,400,0,400
Gm13729,406,0,406
Gm13730,1462,0,1462
Gm13731,196,0,196
Gm13732,535,0,535
Gm13733,535,0,535
Gm13735,670,0,670
Gm13736,253,0,253
Gm13738,469,0,469
Gm13740,310,0,310
Gm13742,457,0,457
Gm13743,724,0,724
Gm13744,850,0,850
Gm13748,378,11751,12129
Gm13749,1432,2841,4273
Gm13750,465,0,465
Gm13751,752,0,752
Gm13752,491,5138,5629
Gm13754,998,17087,18085
Gm13755,305,4031,4336
Gm13758,743,6950,7693
Gm13761,807,0,807
Gm13762,2612,5615,8227
Gm13767,876,24115,24991
Gm13768,929,20127,21056
Gm13770,305,0,305
Gm13771,238,0,238
Gm13772,317,0,317
Gm13773,583,17746,18329
Gm13775,751,17413,18164
Gm13776,1261,0,1261
Gm13777,345,0,345
Gm13778,670,9172,9842
Gm13780,1187,51483,52670
Gm13781,492,2391,2883
Gm13782,352,7971,8323
Gm13784,519,231,750
Gm13788,601,0,601
Gm13790,473,2255,2728
Gm13791,608,56889,57497
Gm13793,438,1287,1725
Gm13794,468,2942,3410
Gm13797,120,0,120
Gm13798,139,0,139
Gm13802,663,11640,12303
Gm13803,489,0,489
Gm13804,172,0,172
Gm13806,325,0,325
Gm13807,1295,12989,14284
Gm13808,184,0,184
Gm13809,597,31,628
Gm13810,1347,0,1347
Gm13812,1347,0,1347
Gm13813,787,0,787
Gm13814,3077,42807,45884
Gm13815,412,0,412
Gm13817,604,10683,11287
Gm13818,511,0,511
Gm13821,3201,0,3201
Gm13822,346,5614,5960
Gm13823,345,0,345
Gm13827,372,0,372
Gm13828,363,0,363
Gm13829,138,0,138
Gm13830,3099,14990,18089
Gm13831,302,0,302
Gm13832,612,63174,63786
Gm13833,719,1082,1801
Gm13836,501,0,501
Gm13837,337,647,984
Gm13839,506,1709,2215
Gm13841,483,0,483
Gm13842,1118,1702,2820
Gm13844,581,10402,10983
Gm13848,2774,5185,7959
Gm13850,623,461,1084
Gm13852,242,0,242
Gm13853,557,6866,7423
Gm13854,1679,657,2336
Gm13855,744,6417,7161
Gm13856,1742,20565,22307
Gm13857,2851,23190,26041
Gm13859,1423,5676,7099
Gm13860,452,7383,7835
Gm13861,495,2046,2541
Gm13862,197,0,197
Gm13863,602,94,696
Gm13865,865,0,865
Gm13866,968,0,968
Gm13867,395,301,696
Gm13869,1054,3095,4149
Gm13870,1023,0,1023
Gm13871,1324,2723,4047
Gm13872,1825,7029,8854
Gm13873,427,0,427
Gm13874,1678,7217,8895
Gm13875,282,0,282
Gm13876,261,0,261
Gm13877,417,0,417
Gm13878,577,155,732
Gm13879,242,0,242
Gm13880,474,0,474
Gm13881,3716,3221,6937
Gm13882,1002,0,1002
Gm13883,1818,17268,19086
Gm13884,829,0,829
Gm13885,187,0,187
Gm13886,1183,0,1183
Gm13888,422,0,422
Gm13889,1392,0,1392
Gm13898,610,0,610
Gm13899,1255,0,1255
Gm13900,498,0,498
Gm13901,468,0,468
Gm13902,605,0,605
Gm13904,837,0,837
Gm13910,1428,0,1428
Gm13912,1860,105744,107604
Gm13913,260,0,260
Gm13914,991,0,991
Gm13915,931,0,931
Gm13916,628,0,628
Gm13919,1954,25143,27097
Gm13921,463,0,463
Gm13923,288,2470,2758
Gm13924,486,0,486
Gm13925,243,21955,22198
Gm13928,1732,0,1732
Gm13929,1125,0,1125
Gm13930,368,362,730
Gm13932,610,0,610
Gm13935,798,652,1450
Gm13936,715,58528,59243
Gm13937,988,0,988
Gm13938,493,63440,63933
Gm13940,301,0,301
Gm13941,736,16875,17611
Gm13943,343,1942,2285
Gm13944,887,17383,18270
Gm13954,543,557,1100
Gm13961,4772,0,4772
Gm13962,611,9422,10033
Gm13963,892,53096,53988
Gm13964,734,2622,3356
Gm13972,3164,40251,43415
Gm13974,1454,188426,189880
Gm13975,782,0,782
Gm13976,479,2105,2584
Gm13977,4049,20721,24770
Gm13981,447,0,447
Gm13982,755,2551,3306
Gm13983,865,0,865
Gm13986,5352,248560,253912
Gm13988,288,0,288
Gm13990,2701,26369,29070
Gm13991,648,0,648
Gm13996,430,0,430
Gm13997,336,342,678
Gm13998,335,0,335
Gm13999,969,1678,2647
Gm14000,233,0,233
Gm14002,2839,7145,9984
Gm14003,313,978,1291
Gm14004,590,9382,9972
Gm14006,981,0,981
Gm14007,210,0,210
Gm14008,274,0,274
Gm14009,656,13992,14648
Gm1401,772,0,772
Gm14010,374,538,912
Gm14011,302,2133,2435
Gm14014,2717,3333,6050
Gm14015,3949,55332,59281
Gm14016,486,0,486
Gm14017,386,0,386
Gm14018,455,5626,6081
Gm14019,403,534,937
Gm14020,662,0,662
Gm14022,691,4050,4741
Gm14023,1781,8676,10457
Gm14024,560,21591,22151
Gm14026,1789,0,1789
Gm14027,622,4183,4805
Gm14028,479,0,479
Gm14029,1348,118,1466
Gm14032,1026,0,1026
Gm14033,2290,19356,21646
Gm14034,551,0,551
Gm14035,1475,0,1475
Gm14037,313,0,313
Gm14038,807,0,807
Gm14039,101,0,101
Gm14041,276,746,1022
Gm14042,833,0,833
Gm14044,447,0,447
Gm14046,509,0,509
Gm14050,346,0,346
Gm14051,377,75341,75718
Gm14052,1031,0,1031
Gm14053,470,0,470
Gm14054,704,0,704
Gm14056,642,0,642
Gm14061,1007,58724,59731
Gm14062,4134,2652,6786
Gm14064,727,165083,165810
Gm14065,585,0,585
Gm14066,2057,418782,420839
Gm14070,428,0,428
Gm14073,381,0,381
Gm14082,801,0,801
Gm14085,4996,38104,43100
Gm14089,318,3299,3617
Gm14091,874,3375,4249
Gm14092,617,3714,4331
Gm14094,610,0,610
Gm14095,516,17421,17937
Gm14097,470,3622,4092
Gm14098,623,348,971
Gm14101,473,527,1000
Gm14104,356,902,1258
Gm14106,438,0,438
Gm14107,330,0,330
Gm14108,494,0,494
Gm14109,309,0,309
Gm14111,999,0,999
Gm14114,287,11119,11406
Gm14115,482,0,482
Gm14116,805,0,805
Gm14117,843,0,843
Gm14119,235,0,235
Gm14120,2869,7022,9891
Gm14121,1380,0,1380
Gm14122,973,171,1144
Gm14123,2658,1364,4022
Gm14124,3018,9766,12784
Gm14125,989,0,989
Gm14126,395,0,395
Gm14127,678,77,755
Gm14128,1011,197,1208
Gm14129,291,3682,3973
Gm14130,987,0,987
Gm14131,719,0,719
Gm14132,1719,0,1719
Gm14133,1436,53381,54817
Gm14137,3067,0,3067
Gm14138,745,0,745
Gm14139,1728,9797,11525
Gm14140,995,0,995
Gm14141,783,0,783
Gm14143,357,0,357
Gm14144,1721,12513,14234
Gm14145,508,927,1435
Gm14146,508,7061,7569
Gm14147,2681,2893,5574
Gm14148,1008,32,1040
Gm14149,1853,24567,26420
Gm14150,1354,0,1354
Gm14151,2672,2893,5565
Gm14152,1243,50510,51753
Gm14153,1139,0,1139
Gm14154,579,2790,3369
Gm14155,587,2455,3042
Gm14156,483,0,483
Gm14158,308,0,308
Gm14159,451,0,451
Gm14162,601,0,601
Gm14164,1999,27657,29656
Gm14167,433,1185,1618
Gm14168,2197,3469,5666
Gm14169,2519,1698,4217
Gm14170,331,713,1044
Gm14172,644,0,644
Gm14173,278,0,278
Gm14174,161,841,1002
Gm14175,241,0,241
Gm14176,477,0,477
Gm14180,78,0,78
Gm14188,168,0,168
Gm14190,153,0,153
Gm14193,153,0,153
Gm14197,1049,0,1049
Gm14198,948,1687,2635
Gm14199,495,1120,1615
Gm14200,192,0,192
Gm14201,289,0,289
Gm14202,311,0,311
Gm14204,7401,7851,15252
Gm14205,739,172,911
Gm14206,747,11834,12581
Gm14207,1054,3954,5008
Gm14208,678,0,678
Gm14210,503,480,983
Gm14211,408,6573,6981
Gm14212,826,0,826
Gm14213,768,0,768
Gm14214,776,0,776
Gm14215,221,0,221
Gm14216,684,15416,16100
Gm14218,595,2561,3156
Gm14219,288,0,288
Gm14221,1667,49926,51593
Gm14222,575,1260,1835
Gm14223,517,35087,35604
Gm14224,864,2882,3746
Gm14225,539,2037,2576
Gm14227,629,0,629
Gm14228,798,310,1108
Gm14229,850,0,850
Gm14230,1066,5778,6844
Gm14231,592,0,592
Gm14232,446,11360,11806
Gm14234,845,0,845
Gm14235,366,5151,5517
Gm14236,872,106,978
Gm14237,430,0,430
Gm14238,323,0,323
Gm14240,546,0,546
Gm14241,264,676,940
Gm14243,2172,35342,37514
Gm14244,2410,6180,8590
Gm14245,1843,0,1843
Gm14246,680,395,1075
Gm14248,544,0,544
Gm14250,566,5878,6444
Gm14252,3215,3850,7065
Gm14253,639,0,639
Gm14257,765,146,911
Gm14258,2031,1932,3963
Gm14260,260,548,808
Gm14261,1431,537,1968
Gm14262,326,5777,6103
Gm14263,746,0,746
Gm14264,1864,8168,10032
Gm14266,1282,76800,78082
Gm14267,3153,19185,22338
Gm14268,968,16392,17360
Gm14269,306,0,306
Gm14270,846,0,846
Gm14271,630,2979,3609
Gm14272,484,517,1001
Gm14273,1786,12544,14330
Gm14274,615,0,615
Gm14275,430,1958,2388
Gm14276,720,0,720
Gm14277,360,0,360
Gm14278,878,25652,26530
Gm14279,332,0,332
Gm14280,1444,67498,68942
Gm14281,1294,0,1294
Gm14283,325,0,325
Gm14285,380,1186,1566
Gm14286,464,740,1204
Gm14287,117,0,117
Gm14288,3438,8299,11737
Gm14291,804,420,1224
Gm14292,456,0,456
Gm14293,577,0,577
Gm14295,3527,9085,12612
Gm14296,9870,25431,35301
Gm14297,291,0,291
Gm14299,397,0,397
Gm14300,946,0,946
Gm14301,324,0,324
Gm14302,382,678,1060
Gm14303,171,0,171
Gm14304,446,67,513
Gm14305,2500,10986,13486
Gm14307,291,0,291
Gm14308,3329,19652,22981
Gm14314,1015,0,1015
Gm14317,1464,7737,9201
Gm14319,703,3255,3958
Gm14320,1023,4566,5589
Gm14321,852,4251,5103
Gm14322,1254,9931,11185
Gm14323,627,0,627
Gm14324,3051,1407,4458
Gm14325,1616,6930,8546
Gm14326,2863,18442,21305
Gm14327,1451,7238,8689
Gm14328,408,0,408
Gm14329,591,10851,11442
Gm14330,455,8833,9288
Gm14331,409,4356,4765
Gm14332,899,789,1688
Gm14333,264,0,264
Gm14334,693,0,693
Gm14336,475,0,475
Gm14340,1913,4375,6288
Gm14341,667,11682,12349
Gm14342,2119,58052,60171
Gm14343,731,8459,9190
Gm14344,580,11854,12434
Gm14348,868,0,868
Gm14349,902,790,1692
Gm14350,640,0,640
Gm14352,449,0,449
Gm14353,869,0,869
Gm14355,264,0,264
Gm14356,869,0,869
Gm14357,868,0,868
Gm14358,403,2476,2879
Gm14359,424,5420,5844
Gm14363,409,2472,2881
Gm14364,267,0,267
Gm14365,587,0,587
Gm14366,730,1566,2296
Gm14367,1497,0,1497
Gm14370,868,0,868
Gm14371,1518,52716,54234
Gm14372,2193,36693,38886
Gm14373,2158,0,2158
Gm14375,855,0,855
Gm14377,2094,13046,15140
Gm14379,1878,240,2118
Gm14380,431,0,431
Gm14381,414,0,414
Gm14383,386,0,386
Gm14385,876,0,876
Gm14387,2055,1363,3418
Gm14389,241,0,241
Gm14390,1695,1346,3041
Gm14391,7822,8031,15853
Gm14392,401,5161,5562
Gm14393,937,5296,6233
Gm14394,295,0,295
Gm14395,563,0,563
Gm14396,548,1298,1846
Gm14397,576,3982,4558
Gm14398,1073,0,1073
Gm14399,2561,9959,12520
Gm14400,2135,1356,3491
Gm14401,1329,11699,13028
Gm14402,508,5192,5700
Gm14403,1656,9893,11549
Gm14404,1660,1375,3035
Gm14405,2330,1368,3698
Gm14406,1621,7386,9007
Gm14407,447,0,447
Gm14408,408,5183,5591
Gm14409,1050,1333,2383
Gm14410,2398,20571,22969
Gm14411,914,1333,2247
Gm14412,1581,8207,9788
Gm14413,408,5173,5581
Gm14414,573,0,573
Gm14415,1578,1347,2925
Gm14416,2308,1364,3672
Gm14417,1074,1342,2416
Gm14418,2441,8756,11197
Gm14419,2680,9152,11832
Gm14421,1958,1365,3323
Gm14424,895,166,1061
Gm14426,249,394,643
Gm14427,635,0,635
Gm14428,822,1345,2167
Gm14429,2024,1328,3352
Gm14434,2774,10732,13506
Gm14435,1508,10660,12168
Gm14437,360,7862,8222
Gm14438,624,0,624
Gm14439,441,0,441
Gm14440,3382,8299,11681
Gm14441,540,0,540
Gm14442,1736,1380,3116
Gm14443,4859,4758,9617
Gm14444,2009,6999,9008
Gm14445,1484,1432,2916
Gm14448,210,0,210
Gm14450,240,0,240
Gm14451,1542,279,1821
Gm14452,1632,192,1824
Gm14453,553,8343,8896
Gm14455,2146,12611,14757
Gm14457,1161,0,1161
Gm14459,540,10363,10903
Gm14460,639,0,639
Gm14461,1780,62904,64684
Gm14463,498,0,498
Gm14464,1254,0,1254
Gm14465,567,0,567
Gm14466,451,0,451
Gm14469,202,0,202
Gm14470,466,0,466
Gm14471,2358,15562,17920
Gm14472,282,0,282
Gm14473,557,0,557
Gm14480,433,0,433
Gm14481,629,0,629
Gm14486,790,18754,19544
Gm14487,1259,3035,4294
Gm14488,3194,3717,6911
Gm14491,199,0,199
Gm14496,6544,6189,12733
Gm14497,580,0,580
Gm14502,113,0,113
Gm14503,1164,0,1164
Gm14504,1497,0,1497
Gm14505,831,42415,43246
Gm14506,536,0,536
Gm14507,347,10901,11248
Gm14508,901,5889,6790
Gm14509,1286,0,1286
Gm14510,1092,0,1092
Gm14512,230,0,230
Gm14513,123,0,123
Gm14516,252,0,252
Gm14517,337,0,337
Gm14518,542,0,542
Gm14519,312,0,312
Gm14520,387,0,387
Gm14521,350,0,350
Gm14524,683,0,683
Gm14525,893,28969,29862
Gm14527,639,26716,27355
Gm14528,231,0,231
Gm14529,406,0,406
Gm14530,333,0,333
Gm14532,279,15348,15627
Gm14534,357,0,357
Gm14536,138,0,138
Gm14538,1327,0,1327
Gm14539,174,0,174
Gm14540,3261,1494,4755
Gm14542,1248,824,2072
Gm14546,1647,32338,33985
Gm14547,371,7798,8169
Gm14548,2128,11751,13879
Gm14549,1035,1395,2430
Gm14551,256,0,256
Gm14552,2406,32818,35224
Gm14553,1118,53433,54551
Gm14554,661,15211,15872
Gm14558,381,0,381
Gm14559,496,0,496
Gm14560,375,0,375
Gm14561,798,1171,1969
Gm14562,543,0,543
Gm14563,354,0,354
Gm14565,2494,29788,32282
Gm14566,321,0,321
Gm14567,174,0,174
Gm14568,294,0,294
Gm14569,5722,62508,68230
Gm14570,391,0,391
Gm14571,570,0,570
Gm14573,451,93,544
Gm14575,560,0,560
Gm14576,1111,0,1111
Gm14577,256,0,256
Gm14582,1189,36310,37499
Gm14584,637,0,637
Gm14586,408,0,408
Gm14589,727,0,727
Gm14592,560,0,560
Gm14594,537,14655,15192
Gm14595,537,14606,15143
Gm14597,827,31066,31893
Gm14598,468,15030,15498
Gm14599,474,3424,3898
Gm14600,630,0,630
Gm14602,340,0,340
Gm14603,448,0,448
Gm14606,1155,0,1155
Gm14608,1553,0,1553
Gm14609,902,0,902
Gm14610,966,0,966
Gm14612,881,0,881
Gm14613,752,555,1307
Gm14614,384,0,384
Gm14615,1816,713,2529
Gm14617,1345,3866,5211
Gm14620,383,0,383
Gm14622,468,21910,22378
Gm14624,192,7973,8165
Gm14627,567,0,567
Gm14630,246,0,246
Gm14632,864,22010,22874
Gm14633,470,0,470
Gm14634,2622,56593,59215
Gm14635,1614,13601,15215
Gm14636,7009,3252,10261
Gm14637,444,1927,2371
Gm14639,866,0,866
Gm14641,452,7603,8055
Gm14642,470,685,1155
Gm14643,1848,603214,605062
Gm14644,647,1270,1917
Gm14645,417,0,417
Gm14647,680,0,680
Gm14648,483,0,483
Gm14652,235,0,235
Gm14653,1533,0,1533
Gm14654,447,0,447
Gm14657,302,0,302
Gm14659,843,998,1841
Gm14660,575,0,575
Gm14662,734,3681,4415
Gm14664,437,33891,34328
Gm14665,557,0,557
Gm14666,843,0,843
Gm14667,1350,0,1350
Gm14668,1724,404,2128
Gm14670,337,0,337
Gm14671,262,0,262
Gm14673,746,157,903
Gm14674,342,0,342
Gm14676,858,0,858
Gm14679,722,0,722
Gm14681,411,0,411
Gm14682,524,0,524
Gm14684,123,399,522
Gm14685,2864,9352,12216
Gm14687,363,3404,3767
Gm14688,303,0,303
Gm14695,282,2587,2869
Gm14696,3976,27943,31919
Gm14697,648,114916,115564
Gm14698,4226,0,4226
Gm14699,228,0,228
Gm14703,1820,4333,6153
Gm14704,874,0,874
Gm14705,1906,2768,4674
Gm14706,255,0,255
Gm14709,304,0,304
Gm14710,1066,8209,9275
Gm14711,217,905,1122
Gm14712,772,0,772
Gm14714,439,0,439
Gm14715,643,13454,14097
Gm14717,649,13760,14409
Gm14718,752,2984,3736
Gm14719,340,0,340
Gm14721,525,0,525
Gm14722,689,0,689
Gm14723,215,0,215
Gm14724,537,0,537
Gm14725,828,0,828
Gm14726,896,0,896
Gm14727,525,0,525
Gm14728,492,0,492
Gm14729,689,0,689
Gm14730,1045,0,1045
Gm14733,133,0,133
Gm14735,3088,0,3088
Gm14739,802,0,802
Gm14740,1150,0,1150
Gm14741,1009,0,1009
Gm14742,381,549,930
Gm14743,759,4701,5460
Gm14745,1096,0,1096
Gm14746,741,191,932
Gm14747,984,0,984
Gm14748,411,3667,4078
Gm14749,333,113,446
Gm14751,222,0,222
Gm14752,2075,1685,3760
Gm14753,246,0,246
Gm14758,138,0,138
Gm14760,999,0,999
Gm14762,2985,5955,8940
Gm14764,313,5104,5417
Gm14766,367,0,367
Gm14767,586,0,586
Gm14771,203,0,203
Gm14772,514,0,514
Gm14775,310,0,310
Gm14777,176,0,176
Gm14780,2737,0,2737
Gm14781,1360,2118,3478
Gm14783,663,0,663
Gm14784,663,0,663
Gm14785,539,608,1147
Gm14786,944,1933,2877
Gm14788,375,0,375
Gm14794,192,0,192
Gm14796,959,0,959
Gm14798,1189,69262,70451
Gm14799,429,0,429
Gm14800,1272,0,1272
Gm14802,1885,0,1885
Gm14804,508,0,508
Gm14805,340,0,340
Gm14806,2110,0,2110
Gm14807,983,0,983
Gm14810,486,0,486
Gm14811,117,0,117
Gm14812,1794,36673,38467
Gm14813,395,0,395
Gm14815,488,0,488
Gm14816,294,0,294
Gm14817,643,1759,2402
Gm14819,928,21983,22911
Gm14820,2096,29581,31677
Gm14822,291,0,291
Gm14823,238,0,238
Gm14824,737,0,737
Gm14826,901,0,901
Gm14827,3089,1907,4996
Gm14830,700,0,700
Gm14831,409,0,409
Gm14833,1027,0,1027
Gm14834,795,90,885
Gm14835,315,0,315
Gm14836,471,0,471
Gm14837,206,0,206
Gm14838,248,0,248
Gm14840,594,0,594
Gm14841,758,0,758
Gm14843,212,0,212
Gm14845,306,0,306
Gm14847,519,0,519
Gm14849,2846,1981,4827
Gm14852,647,2581,3228
Gm14854,841,0,841
Gm14856,613,0,613
Gm14857,3185,0,3185
Gm14858,2109,110868,112977
Gm14859,357,0,357
Gm14861,455,0,455
Gm14862,870,5102,5972
Gm14863,307,0,307
Gm14864,1087,0,1087
Gm14866,2118,1829,3947
Gm14867,866,0,866
Gm14869,884,0,884
Gm14871,194,0,194
Gm14874,438,735,1173
Gm14875,319,0,319
Gm14876,327,3799,4126
Gm14879,507,0,507
Gm14881,372,34,406
Gm14882,218,0,218
Gm14883,157,0,157
Gm14884,196,0,196
Gm14886,2629,0,2629
Gm14887,663,394,1057
Gm14890,676,0,676
Gm14891,596,0,596
Gm14892,267,5,272
Gm14893,282,26,308
Gm14896,1351,0,1351
Gm14897,207,0,207
Gm14901,283,0,283
Gm14902,1007,7322,8329
Gm14905,639,2428,3067
Gm14906,390,0,390
Gm14907,854,0,854
Gm14910,1805,0,1805
Gm14911,989,0,989
Gm14912,1773,0,1773
Gm14913,1093,0,1093
Gm14914,2031,0,2031
Gm14915,204,0,204
Gm14917,2105,0,2105
Gm14919,390,0,390
Gm14922,163,0,163
Gm14923,155,1469,1624
Gm14925,438,0,438
Gm14926,508,230,738
Gm14928,477,0,477
Gm14929,1850,202,2052
Gm14930,652,0,652
Gm14931,253,0,253
Gm14932,453,194,647
Gm14936,2621,26270,28891
Gm14938,943,0,943
Gm14939,680,782,1462
Gm14940,495,234,729
Gm14942,336,0,336
Gm14947,303,0,303
Gm14950,1155,1733,2888
Gm14951,570,7108,7678
Gm14957,817,40403,41220
Gm14963,2558,5253,7811
Gm14964,760,541,1301
Gm14965,1232,7975,9207
Gm14966,802,7436,8238
Gm14970,355,0,355
Gm14971,663,0,663
Gm14973,255,0,255
Gm14976,1394,0,1394
Gm14978,304,2002,2306
Gm14980,736,0,736
Gm14981,943,0,943
Gm14982,442,0,442
Gm14983,323,0,323
Gm14984,1263,0,1263
Gm14986,1002,0,1002
Gm14987,676,0,676
Gm14988,1548,1887,3435
Gm14989,207,0,207
Gm14991,598,1317,1915
Gm14996,512,0,512
Gm14998,495,0,495
Gm14999,624,0,624
Gm15000,1243,0,1243
Gm15001,795,1854,2649
Gm15007,710,0,710
Gm15008,460,692,1152
Gm15010,407,0,407
Gm15011,1480,0,1480
Gm15012,106,0,106
Gm15013,801,0,801
Gm15014,258,0,258
Gm15015,636,29090,29726
Gm15016,720,0,720
Gm15017,632,18735,19367
Gm15019,434,2043,2477
Gm15021,742,0,742
Gm15022,746,0,746
Gm15023,3698,6311,10009
Gm15026,458,0,458
Gm15027,138,0,138
Gm15028,370,0,370
Gm15029,199,0,199
Gm15031,210,0,210
Gm15032,411,0,411
Gm15033,673,0,673
Gm15034,349,0,349
Gm15036,400,0,400
Gm15037,259,0,259
Gm15039,875,0,875
Gm15040,1241,485,1726
Gm15041,756,0,756
Gm15042,883,0,883
Gm15044,598,0,598
Gm15045,883,0,883
Gm15046,408,98757,99165
Gm15047,454,0,454
Gm15048,954,910,1864
Gm15049,463,0,463
Gm15054,281,0,281
Gm15057,534,0,534
Gm15061,1046,0,1046
Gm15063,895,922,1817
Gm15065,273,0,273
Gm15066,2608,0,2608
Gm15067,156,0,156
Gm15068,192,180,372
Gm15071,1366,0,1366
Gm15074,936,0,936
Gm15078,782,0,782
Gm15079,216,0,216
Gm15080,2029,38153,40182
Gm15081,844,0,844
Gm15082,1960,508,2468
Gm15083,1413,46064,47477
Gm15084,1502,0,1502
Gm15085,2028,38140,40168
Gm15086,573,128,701
Gm15087,1172,0,1172
Gm15088,1508,0,1508
Gm15091,2026,41302,43328
Gm15092,574,128,702
Gm15094,1131,0,1131
Gm15095,1430,0,1430
Gm15096,878,0,878
Gm15097,2045,40177,42222
Gm15098,1508,0,1508
Gm15099,573,128,701
Gm15100,573,128,701
Gm15101,1502,0,1502
Gm15102,1502,0,1502
Gm15103,871,188,1059
Gm15104,842,19623,20465
Gm15105,204,0,204
Gm15107,2028,41959,43987
Gm15108,803,692,1495
Gm15110,881,305,1186
Gm15112,860,308,1168
Gm15114,1974,30524,32498
Gm15115,264,0,264
Gm15120,301,0,301
Gm15122,462,101,563
Gm15123,339,196,535
Gm15124,953,309,1262
