Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Mouse gender	Mouse genotype	Targeted layer	Inferred layer	Cre	Exon reads	Intron reads	Intergenic reads	Sequencing batch	Number of genes detected	RNA class	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons	Pipette Resistance (MΩ)	Access Resistance (MΩ)	Seal Resistance (MΩ)	Recording Temperature (˚C)
62	20200407_sample_21	20200407_slice_5	2020-04-07	sample 21	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	5488	2381	290	12	2940	Sst	Sst Crhr2_1	0.32	Sst Crhr2_1 (31.6%), Sst Myh8_3 (28.0%), Sst Crhr2_2 (20.3%)	Sst Crhr2 Efemp1 (28.0%), Sst Crh 4930553C11Rik  (25.0%), Sst Hpse Sema3c (14.0%)	2198	127.66	Fede, Ray	8	709	0	0	1788			3.98	18.4	116.6	33-34
63	20200407_sample_22	20200407_slice_5	2020-04-07	sample 22	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	8716	2833	487	12	3499	Sst	Sst Htr1a	0.42	Sst Htr1a (41.7%), Sst Hpse (37.9%), Sst Crhr2_1 (4.4%)	Sst Hpse Sema3c (74.0%), Sst Hpse Cbln4 (26.0%)	2274	112.19	Fede, Ray	7	563	0	0	1788			3.95	24.9	120.7	33-34
64	20200407_sample_23	20200407_slice_5	2020-04-07	sample 23	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	75782	14795	3218	12	7053	Sst	Sst Hpse	0.86	Sst Hpse (86.1%), Sst Htr1a (11.7%)	Sst Hpse Cbln4 (100.0%)	2084	341.9	Fede, Ray	7	492	0	0	1788			3.9	18.6	147.2	33-34
65	20200407_sample_24	20200407_slice_5	2020-04-07	sample 24	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	15752	1536	471	12	4840	Sst	Sst Crhr2_2	0.86	Sst Crhr2_2 (85.7%), Sst Crhr2_1 (5.0%), Sst Myh8_1 (4.4%)	Sst Myh8 Etv1  (42.0%), Sst Esm1 (32.0%), Sst Crhr2 Efemp1 (11.0%)	2145	312.02	Fede, Ray	7	845	0	0	1788			3.92	24.6	153.3	33-34
66	20200407_sample_25	20200407_slice_5	2020-04-07	sample 25	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	8953	3253	505	12	4008	Pvalb	Pvalb Kank4	0.34	Pvalb Kank4 (33.6%), Pvalb Egfem1 (14.3%), Pvalb Il1rapl2 (13.0%)	Pvalb Akr1c18 Ntf3 (46.0%), Pvalb Gpr149 Islr (27.0%), Pvalb Reln Itm2a (11.0%)	2180	194.22	Fede, Ray	6	1070	0	0	1788			3.95	15.8	99	33-34
67	20200407_sample_26	20200407_slice_5	2020-04-07	sample 26	mouse_INETJ	2020-01-31	67	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	11510	2417	512	12	4413	Sst	Sst Crhr2_1	0.64	Sst Crhr2_1 (63.7%), Sst Crhr2_2 (12.9%), Sst Chodl (9.0%)	Sst Crhr2 Efemp1 (97.0%)	2068	327.92	Fede, Ray	6	1000	0	0	1788			3.9	21.5	131.5	33-34
68	20200408_sample_1	20200408_slice_1	2020-04-08	sample 1	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	13233	3495	604	12	4959	Sst	Sst Calb2	0.49	Sst Calb2 (49.3%), Sst Htr1a (26.7%), Sst Myh8_1 (10.3%)	Sst Hpse Sema3c (97.0%)	2189	611.48	Fede, Ray	6	750	0	0	1993			4.74	19.3	146	33-34
69	20200408_sample_2	20200408_slice_1	2020-04-08	sample 2	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	5343	986	173	12	1959	low quality					1804	142.79	Fede, Ray	8	708	0	0	1993			3.89	22	102.6	33-34
70	20200408_sample_3	20200408_slice_1	2020-04-08	sample 3	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	13583	3353	565	12	4924	Sst	Sst Hpse	0.76	Sst Hpse (76.3%), Sst Htr1a (10.3%), Sst Chodl (6.6%)	Sst Hpse Cbln4 (84.0%), Sst Hpse Sema3c (16.0%)	2211	416.17	Fede, Ray	7	562	0	0	1993			3.89	9.2	166.5	33-34
71	20200408_sample_4	20200408_slice_2	2020-04-08	sample 4	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	6479	9487	777	12	3650	Sst	Sst C1ql3_2	0.30	Sst C1ql3_2 (29.7%), Sst Tac2 (25.3%), Sst Th_1 (13.4%)	Sst Rxfp1 Prdm8 (61.0%), Sst Tac2 Tacstd2 (21.0%), Sst Rxfp1 Eya1 (15.0%)	2198	246.4	Fede, Ray	7	823	0	0	1532			4.14	20.4	128.6	33-34
72	20200408_sample_5	20200408_slice_2	2020-04-08	sample 5	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	69446	86327	7700	12	3997	Sst	Sst Crhr2_2	0.57	Sst Crhr2_2 (57.0%), Sst Crhr2_1 (32.1%), Sst Th_3 (3.9%)	Sst Esm1 (48.0%), Sst Crhr2 Efemp1 (30.0%), Sst Hpse Sema3c (11.0%)	1758	124.68	Fede, Ray	7	987	0	0	1532			4.78	18.24	124	33-34
73	20200408_sample_6	20200408_slice_2	2020-04-08	sample 6	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	41522	57643	6632	12	5786	Sst	Sst Calb2	0.92	Sst Calb2 (91.6%), Sst Hpse (5.6%)	Sst Calb2 Pdlim5 (79.0%), Sst Tac1 Tacr3 (17.0%)	2237	236.53	Fede, Ray	7	450	0	0	1532			4.14	18.3	133.6	33-34
74	20200408_sample_7	20200408_slice_2	2020-04-08	sample 7	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	5517	2924	325	12	3542	Sst	Sst Pvalb Calb2	0.73	Sst Pvalb Calb2 (72.9%), Sst Chodl (6.3%), Sst Crhr2_1 (3.7%)	Sst Tac1 Tacr3 (55.0%), Sst Tac1 Htr1d (36.0%), Sst Mme Fam114a1 (9.0%)	2342	377.92	Fede, Ray	7	495	0	0	1532			3.96	22.3	102.8	33-34
75	20200408_sample_8	20200408_slice_3	2020-04-08	sample 8	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	5331	882	228	12	2953	Sst	Sst Myh8_1	0.85	Sst Myh8_1 (84.6%), Sst Crhr2_2 (7.7%), Sst Myh8_2 (6.1%)	Sst Chrna2 Glra3 (100.0%)	2380	345.94	Fede, Ray	8	929	0	0	1664			4.18	7.523	230.1	33-34
76	20200408_sample_9	20200408_slice_3	2020-04-08	sample 9	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	3465	1813	229	12	2656	Sst	Sst Myh8_1	0.85	Sst Myh8_1 (84.7%), Sst Crhr2_2 (6.3%), Sst Myh8_2 (3.9%)	Sst Chrna2 Glra3 (89.0%), Sst Myh8 Etv1  (11.0%)	2187	426.51	Fede, Ray	7	930	0	0	1664			3.96	21.3	120.9	33-34
77	20200408_sample_11	20200408_slice_3	2020-04-08	sample 11	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	28932	9226	1276	12	6551	Sst	Sst Htr1a	0.52	Sst Htr1a (52.1%), Sst Myh8_2 (38.0%), Sst Myh8_1 (6.7%)	Sst Chrna2 Ptgdr (86.0%), Sst Hpse Sema3c (14.0%)	2490	496.46	Fede, Ray	8	778	0	0	1664			3.9	18.2	140.2	33-34
78	20200408_sample_12	20200408_slice_3	2020-04-08	sample 12	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	71293	22321	3237	12	7836	Sst	Sst Myh8_1	0.89	Sst Myh8_1 (89.3%), Sst Myh8_2 (9.3%)	Sst Chrna2 Glra3 (99.0%)	2327	468.49	Fede, Ray	8	799	0	0	1664			3.8	16.7	144.3	33-34
79	20200408_sample_13	20200408_slice_3	2020-04-08	sample 13	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	77379	16905	3373	12	7750	Sst	Sst Myh8_1	0.88	Sst Myh8_1 (88.4%), Sst Myh8_2 (11.0%)	Sst Chrna2 Glra3 (99.0%)	2331	388.62	Fede, Ray	7	737	0	0	1664			3.9	19	224	33-34
80	20200408_sample_14	20200408_slice_3	2020-04-08	sample 14	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	45848	20231	2527	12	7428	Sst	Sst Pvalb Etv1	0.75	Sst Pvalb Etv1 (75.3%), Sst Pvalb Calb2 (18.6%), Sst Chodl (1.9%)	Sst Nr2f2 Necab1 (93.0%), Sst Tac1 Tacr3 (7.0%)	2408	516.16	Fede, Ray	8	751	0	0	1664			3.82	19.2	80.48	33-34
81	20200408_sample_15	20200408_slice_3	2020-04-08	sample 15	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	6551	8986	903	12	4164	Pvalb	Pvalb Reln	0.35	Pvalb Reln (35.4%), Pvalb Il1rapl2 (28.9%), Pvalb Kank4 (16.6%)	Pvalb Tpbg (54.0%), Pvalb Reln Itm2a (25.0%), Sst Tac1 Tacr3 (13.0%)	2351	310.15	Fede, Ray	10	536	0	0	1664			3.92	17.5	78.14	33-34
82	20200408_sample_16	20200408_slice_3	2020-04-08	sample 16	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	17177	3412	783	12	5609	Sst	Sst Pvalb Etv1	0.71	Sst Pvalb Etv1 (71.1%), Sst Pvalb Calb2 (13.4%), Sst Etv1 (5.7%)	Sst Nr2f2 Necab1 (99.0%)	1841	492.86	Fede, Ray	7	787	0	0	1664			3.88	18.7	103.5	33-34
83	20200408_sample_17	20200408_slice_3	2020-04-08	sample 17	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1467	1345	146	12	1627	Sst	Sst Calb2	0.77	Sst Calb2 (76.7%), Sst Myh8_1 (9.0%), Sst Hpse (4.9%)	Sst Calb2 Pdlim5 (64.0%), Sst Hpse Sema3c (11.0%), Sst Tac1 Tacr3 (9.0%)	2188	121.14	Fede, Ray	8	702	0	0	1664			3.9	18.21	118.4	33-34
84	20200408_sample_18	20200408_slice_4	2020-04-08	sample 18	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	6	SST+	1407334	377860	74392	12	11214	Sst	Sst Crhr2_1	0.90	Sst Crhr2_1 (89.7%), Sst Hpse (9.9%)	Sst Crhr2 Efemp1 (96.0%)	2321	433.05	Fede, Ray	8	1216	0	0	1640			3.2	8.624	204.5	33-34
85	20200408_sample_19	20200408_slice_4	2020-04-08	sample 19	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	950026	240306	45077	12	9677	Sst	Sst Myh8_1	0.97	Sst Myh8_1 (96.7%)	Sst Chrna2 Glra3 (100.0%)	2187	285.19	Fede, Ray	8	824	0	0	1640			3.9	17.8	159.2	33-34
86	20200408_sample_20	20200408_slice_4	2020-04-08	sample 20	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1615078	347861	62991	12	11400	Sst	Sst Calb2	0.56	Sst Calb2 (55.6%), Sst Pvalb Calb2 (44.3%)	Sst Calb2 Pdlim5 (97.0%)	2317	474.62	Fede, Ray	7	607	0	0	1640			3.9	18.3	111.3	33-34
87	20200408_sample_21	20200408_slice_4	2020-04-08	sample 21	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	866779	297210	45912	12	10285	Sst	Sst C1ql3_1	0.69	Sst C1ql3_1 (68.6%), Sst Th_1 (18.1%), Sst C1ql3_2 (8.3%)	Sst Rxfp1 Prdm8 (100.0%)	2264	347.84	Fede, Ray	8	1094	0	0	1640			3.9	14.6	140.9	33-34
88	20200408_sample_23	20200408_slice_4	2020-04-08	sample 23	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	297499	269218	28704	12	7362	Sst	Sst Hpse	0.42	Sst Hpse (41.7%), Sst Myh8_3 (33.4%), Sst Crhr2_1 (19.6%)	Sst Hpse Cbln4 (95.0%)	2089	188.55	Fede, Ray	8	907	0	0	1640			4.1	19.4	113.7	33-34
89	20200408_sample_24	20200408_slice_4	2020-04-08	sample 24	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1074196	415921	71588	12	11090	Sst	Sst Pvalb Calb2	0.95	Sst Pvalb Calb2 (95.1%)	Sst Mme Fam114a1 (100.0%)	2258	555.61	Fede, Ray	8	759	0	0	1640			4.6	19.2	135.4	33-34
90	20200408_sample_25	20200408_slice_4	2020-04-08	sample 25	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1197577	190756	41677	12	9340	Pvalb	Pvalb Reln	0.58	Pvalb Reln (57.6%), Pvalb Calb1_2 (25.3%), Pvalb Kank4 (13.0%)	Pvalb Reln Itm2a (96.0%)	2168	365.58	Fede, Ray	8	705	0	0	1640			4.5	18.8	120.2	33-34
91	20200408_sample_26	20200408_slice_4	2020-04-08	sample 26	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	620329	420130	51701	12	7673	Sst	Sst Calb2	0.92	Sst Calb2 (92.4%), Sst Hpse (7.6%)	Sst Calb2 Pdlim5 (95.0%)	2206	215.05	Fede, Ray	8	501	0	0	1640			4.6	16.3	106.4	33-34
92	20200408_sample_27	20200408_slice_4	2020-04-08	sample 27	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1950828	244292	62056	12	11330	Sst	Sst Calb2	0.96	Sst Calb2 (95.7%)	Sst Calb2 Pdlim5 (99.0%)	2416	567.34	Fede, Ray	8	899	0	0	1640			4.6	20.7	121.3	33-34
93	20200408_sample_28	20200408_slice_4	2020-04-08	sample 28	mouse_ZUDOB	2020-01-31	68	M	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1003791	106220	36291	12	10384	Sst	Sst Hpse	0.70	Sst Hpse (69.6%), Sst Htr1a (29.4%)	Sst Hpse Cbln4 (80.0%), Sst Hpse Sema3c (20.0%)	2478	447.15	Fede, Ray	8	600	0	0	1640			4.6	19.8	136.6	33-34
94	20200409_sample_1	20200409_slice_1	2020-04-09	sample 1	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	487465	310583	38745	12	8230	Sst	Sst Hpse	0.81	Sst Hpse (80.6%), Sst Calb2 (18.4%)	Sst Hpse Cbln4 (100.0%)	2076	193.31	Fede, Ray	8	450	0	0	1671			4.2	8.5	238.2	33-34
95	20200409_sample_2	20200409_slice_1	2020-04-09	sample 2	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	328609	500481	52495	12	8268	Sst	Sst C1ql3_1	0.77	Sst C1ql3_1 (77.4%), Sst C1ql3_2 (21.4%)	Sst Rxfp1 Eya1 (100.0%)	2117	205.91	Fede, Ray	8	450	0	0	1671			4.9	18.3	149.5	33-34
96	20200409_sample_3	20200409_slice_1	2020-04-09	sample 3	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1305698	248595	52058	12	11551	Sst	Sst Calb2	0.63	Sst Calb2 (63.0%), Sst Hpse (37.0%)	Sst Hpse Cbln4 (60.0%), Sst Calb2 Pdlim5 (40.0%)	1984	593.87	Fede, Ray	6	705	0	0	1671			4.2	18	101.7	33-34
97	20200409_sample_4	20200409_slice_1	2020-04-09	sample 4	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1282136	334364	63707	12	10941	Sst	Sst Myh8_3	0.86	Sst Myh8_3 (86.4%), Sst Crhr2_1 (9.3%)	Sst Tac2 Myh4 (97.0%)	1856	392.13	Fede, Ray	6	708	0	0	1671			4.5	18.9	144.4	33-34
98	20200409_sample_5	20200409_slice_1	2020-04-09	sample 5	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	235978	279189	26573	12	6077	Sst	Sst Myh8_1	0.70	Sst Myh8_1 (70.1%), Sst Myh8_2 (26.4%)	Sst Chrna2 Glra3 (63.0%), Sst Chrna2 Ptgdr (37.0%)	1736	116.72	Fede, Ray	6	700	0	0	1671			4.9	6.8	155.2	33-34
99	20200409_sample_6	20200409_slice_1	2020-04-09	sample 6	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1203122	129135	51559	12	10802	Sst	Sst Crhr2_1	0.43	Sst Crhr2_1 (43.3%), Sst Htr1a (21.1%), Sst Crhr2_2 (17.1%)	Sst Crhr2 Efemp1 (100.0%)	1761	453.45	Fede, Ray	6	956	0	0	1671			4.8	16.1	147.2	33-34
100	20200409_sample_7	20200409_slice_1	2020-04-09	sample 7	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	643467	305070	48245	12	9416	Sst	Sst Crhr2_1	0.97	Sst Crhr2_1 (97.1%)	Sst Crhr2 Efemp1 (100.0%)	1782	349.46	Fede, Ray	6	1101	0	0	1671			4.9	19.8	126.5	33-34
101	20200409_sample_8	20200409_slice_1	2020-04-09	sample 8	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	1150036	178896	48296	12	11526	Sst	Sst Pvalb Calb2	0.53	Sst Pvalb Calb2 (52.7%), Sst Calb2 (36.4%), Sst Hpse (10.7%)	Sst Calb2 Pdlim5 (89.0%), Sst Hpse Cbln4 (9.0%)	1994	560.7	Fede, Ray	6	468	0	0	1671			3.9	18.6	120.7	33-34
102	20200409_sample_9	20200409_slice_1	2020-04-09	sample 9	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1119979	228439	43992	12	10186	Sst	Sst Htr1a	0.62	Sst Htr1a (62.4%), Sst Myh8_3 (27.6%), Sst Crhr2_1 (4.3%)	Sst Tac2 Myh4 (79.0%), Sst Hpse Sema3c (20.0%)	1820	409.04	Fede, Ray	8	818	0	0	1607			3.8	20.5	153.7	33-34
103	20200409_sample_10	20200409_slice_2	2020-04-09	sample 10	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1192172	239985	52694	12	10701	Sst	Sst C1ql3_2	0.77	Sst C1ql3_2 (76.7%), Sst C1ql3_1 (23.1%)	Sst Rxfp1 Eya1 (100.0%)	2102	811.38	Fede, Ray	10	890	0	0	1607			4.2	18.1	105.6	33-34
104	20200409_sample_11	20200409_slice_2	2020-04-09	sample 11	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1392346	309144	58603	12	10468	Sst	Sst Myh8_1	1.00	Sst Myh8_1 (99.6%)	Sst Chrna2 Glra3 (97.0%)	1911	526.16	Fede, Ray	7	884	0	0	1607			3.9	19.7	196.4	33-34
105	20200409_sample_12	20200409_slice_2	2020-04-09	sample 12	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	980797	346226	53567	12	8875	Sst	Sst Myh8_1	0.99	Sst Myh8_1 (99.1%)	Sst Chrna2 Glra3 (100.0%)	1949	179.35	Fede, Ray	8	864	0	0	1607			3.9	11	227.6	33-34
106	20200409_sample_13	20200409_slice_2	2020-04-09	sample 13	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1539070	461161	82387	12	11729	Sst	Sst Crhr2_2	0.98	Sst Crhr2_2 (98.3%)	Sst Esm1 (100.0%)	2034	454.24	Fede, Ray	8	915	0	0	1607			3.9	12.3	166.5	33-34
107	20200409_sample_14	20200409_slice_2	2020-04-09	sample 14	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2733928	631341	119391	12	10465	Sst	Sst Crhr2_2	0.91	Sst Crhr2_2 (90.9%), Sst Myh8_1 (8.4%)	Sst Esm1 (98.0%)	1897	267.17	Fede, Ray	8	862	0	0	1590			3.8	16.22	226.1	33-34
108	20200409_sample_15	20200409_slice_3	2020-04-09	sample 15	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	833436	1223958	186467	12	9929	Sst	Sst Tac2	0.76	Sst Tac2 (75.9%), Sst C1ql3_2 (10.4%), Sst Th_1 (8.0%)	Sst Tac2 Tacstd2 (67.0%), Sst Rxfp1 Prdm8 (33.0%)	1927	128.24	Fede, Ray	8	1000	0	0	1590			4.9	17.6	138.2	33-34
109	20200409_sample_17	20200409_slice_3	2020-04-09	sample 17	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2711664	287367	99379	12	11072	Sst	Sst Myh8_1	0.99	Sst Myh8_1 (98.7%)	Sst Chrna2 Glra3 (100.0%)	2045	293.47	Fede, Ray	8	766	0	0	1613			4.2	23.9	161.6	33-34
110	20200409_sample_18	20200409_slice_4	2020-04-09	sample 18	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	755543	578868	84671	12	7322	Sst	Sst Crhr2_1	0.80	Sst Crhr2_1 (80.4%), Sst Hpse (13.3%), Sst Myh8_3 (4.0%)	Sst Crhr2 Efemp1 (56.0%), Sst Hpse Cbln4 (30.0%), Sst Crh 4930553C11Rik  (14.0%)	1811	122.36	Fede, Ray	10	950	0	0	1613			4.2	10.4	194.6	33-34
111	20200409_sample_19	20200409_slice_4	2020-04-09	sample 19	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	2/3	SST+	1329194	21056	37226	12	7404	Sst	Sst Pvalb Calb2	0.43	Sst Pvalb Calb2 (42.7%), Sst Calb2 (25.9%), Sst Crhr2_1 (20.0%)	Sst Mme Fam114a1 (96.0%)	2023	168.67	Fede, Ray	10	450	0	0	1613			3.9	11	298.7	33-34
112	20200409_sample_20	20200409_slice_4	2020-04-09	sample 20	mouse_NDKCQ	2019-09-15	207	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	1396210	291002	57747	12	10316	Sst	Sst Hpse	0.69	Sst Hpse (69.4%), Sst Htr1a (20.4%), Sst Myh8_3 (5.4%)	Sst Hpse Cbln4 (99.0%)	2065	340.28	Fede, Ray	10	610	0	0	1613			3.9	24	185.7	33-34
113	20200410_sample_1	20200410_slice_1	2020-04-10	sample 1	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1189390	1999769	177588	12	11476	IT	L5 IT_1	0.58	L5 IT_1 (58.3%), L5 IT_2 (28.3%), L5 IT_3 (12.1%)	L5 IT ALM Gkn1 Pcdh19 (56.0%), L5 IT VISp Col27a1 (16.0%), L5 IT ALM Cbln4 Fezf2 (14.0%)	2177	468.29	Fede, Ray	5	766	0	0	1590			4.1	18.2	227.2	33-34
114	20200410_sample_2	20200410_slice_1	2020-04-10	sample 2	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2296614	664175	118604	12	12194	Sst	Sst Myh8_3	0.85	Sst Myh8_3 (84.6%), Sst C1ql3_2 (10.7%)	Sst Tac2 Tacstd2 (100.0%)	1856	657.91	Fede, Ray	8	733	0	0	1590			3.1	19.4	129	33-34
115	20200410_sample_4	20200410_slice_1	2020-04-10	sample 4	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	800968	31999	32899	12	4914	ET	L5 ET_2	0.27	L5 ET_2 (26.7%), L5 IT_3 (17.4%), L5 ET_4 (13.9%)	Oligo Synpr (84.0%), L5 IT VISp Col27a1 (5.0%), Oligo Serpinb1a (5.0%)	1523	93.18	Fede, Ray	8	712	0	0	1590			3.4	15.4	62.4	33-34
116	20200410_sample_5	20200410_slice_1	2020-04-10	sample 5	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	2274666	885432	146722	12	13706	IT	L5 IT_2	0.39	L5 IT_2 (39.0%), L5 IT_1 (31.9%), L5 IT_3 (17.4%)	L5 IT ALM Gkn1 Pcdh19 (86.0%), L5 IT VISp Col27a1 (8.0%), L6 IT ALM Tgfb1 (5.0%)	1875	961.88	Fede, Ray	7	698	0	0	1590			3.2	15.7	78.22	33-34
117	20200410_sample_6	20200410_slice_1	2020-04-10	sample 6	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	971799	1406135	158299	12	11108	ET	L5 ET_3	0.69	L5 ET_3 (69.3%), L5 ET_4 (12.9%), L5 ET_1 (12.3%)	L5 PT ALM Npsr1 (45.0%), L5 PT ALM Hpgd (32.0%), L5 PT VISp Lgr5 (12.0%)	1889	454.98	Fede, Ray	8	682	0	0	1590			3.2	13.1	60.6	33-34
118	20200410_sample_7	20200410_slice_1	2020-04-10	sample 7	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST+	2489352	507165	88662	12	12183	Sst	Sst Pvalb Calb2	0.84	Sst Pvalb Calb2 (84.1%), Sst Crhr2_1 (11.7%)	Sst Mme Fam114a1 (99.0%)	2105	620.25	Fede, Ray	6	639	0	0	1590			3.5	17.2	146.3	33-34
119	20200410_sample_8	20200410_slice_1	2020-04-10	sample 8	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	852884	1051936	127296	12	10604	IT	L5 IT_1	0.76	L5 IT_1 (76.4%), L5 IT_3 (10.6%), L6 IT_1 (4.9%)	L5 IT VISp Col27a1 (60.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%), L5 IT ALM Cpa6 Gpr88 (11.0%)	1730	386.53	Fede, Ray	6	848	0	0	1590			3.9	20.5	171.1	33-34
120	20200410_sample_10	20200410_slice_1	2020-04-10	sample 10	mouse_MITSU	2019-09-15	208	F	Sst-IRES-Cre/wt; Ai9/wt	5	5	SST-	1613834	1667428	179896	12	12303	IT	L5 IT_1	0.79	L5 IT_1 (78.6%), L5 IT_2 (10.1%), L5 IT_3 (6.0%)	L5 IT ALM Cpa6 Gpr88 (91.0%), L5 IT VISp Col27a1 (8.0%)	2251	510.81	Fede, Ray	7	779	0	0	1590			3.5	18.8	183.2	33-34
